question,answer,additionalInfo
"De quelle crustacé le Cameroun tient son nom ?", "La crevette.", "Le nom du Cameroun vient du mot portugais « Camarões » qui signifie crevettes. En 1472, le navigateur portugais Fernão do Pó découvre un fleuve riche en crevettes (l'actuel estuaire du Wouri) qu'il nomme « Rio dos Camarões »."
"Quelle était le premier message envoyé sur internet ? Quelle année ?", "« Lo » en 1969", "Le 29 octobre 1969, le premier message envoyé sur ARPANET (ancêtre d'Internet) était « Lo ». L'objectif était d'envoyer le mot « Login », mais le système a planté après les deux premières lettres. ""gin"" est arrivé 3h plus tard ... Les mots « Internet » et « World Wide Web » n'ont été utilisés qu'à partir des années 1980."
"Quel est nom est donné aux plaques inférieures en métal et à rigoles dans les fours élèctroménagers (et les rôtisseries) pour recevoir le jus et la graisse des viandes au cours de la cuisson ?", "Un lèchefrite"
"À l'origine, combien de secondes maximum pouvait durer un Vine ?", "6 secondes", "Vine était une application de partage de vidéos courtes, créée en 2012 et rachetée par Twitter. Elle a été fermée fin 2016. Les utilisateurs pouvaient enregistrer des vidéos de 6 secondes maximum, qui se répétaient en boucle."
"Quels sont les arbres les plus grands au monde ?", "Les séquoias (à feuille d'If)", "Ce sont les plus grands arbres du monde. Ils peuvent atteindre une hauteur de 85 mètres et un diamètre de 11 mètres. Le plus grand séquoia géant connu, nommé Hyperion, mesure environ 115,5 mètres de haut, et va avoir 700 ans. Ces arbres sont originaire de la côte Pacifique des États-Unis (Californie et Sud de l'Oregon)"
"Dans quelle ville européenne peut-on surfer les plus grandes vagues du monde ?", "À Nazaré au Portugal", "Nazaré est une ville côtière du Portugal, célèbre pour ses vagues géantes qui peuvent atteindre jusqu'à 30 mètres de hauteur. Ces vagues sont créées par un canyon sous-marin qui amplifie la houle."
"Dans la cuisine européenne, quel poisson change d'appelation pour devenir la « morue » quand il est séché et salé ?" , "Le cabillaud", "Le terme « morue » désigne le cabillaud lorsqu'il est salé et séché. Le cabillaud frais est souvent utilisé dans les recettes de poisson, tandis que la morue est un ingrédient traditionnel dans de nombreux plats européens, notamment la brandade de morue."
"En astronomie, quelle méthode permet de catégoriser les risques d'impacts d'objets géocroiseurs, tels les astéroïdes ou les comètes ?","L'échelle de Turin", "L'échelle de Turin est une échelle de 0 à 10 qui évalue le risque d'impact d'un objet géocroiseur sur la Terre. Elle prend en compte la probabilité d'impact et les conséquences potentielles. En janvier 2007, le record de risque sur l'échelle de Turin était détenu par (99942) Apophis avec un score de 4, mais il a été révisé à 0 depuis."
"De quel réalisateur Nicolas Cage a-t-il été le protégé dans les années 1990 ?", "Francis Ford Coppola", "Nicolas Cage, de son vrai nom Nicolas Kim Coppola, est le neveu de Francis Ford Coppola. Il a changé son nom pour éviter d'être perçu comme un acteur favorisé par son oncle. Coppola est connu pour ses films emblématiques tels que « Le Parrain » et « Apocalypse Now »."
"Quel est le sport national en Inde", "Le cricket"
"Combien de métropoles possède le métro en France ? ", "6 métropoles", "Les métropoles françaises avec un métro sont : Paris, Lyon, Marseille, Lille, Toulouse et Rennes. Le métro de Paris est le plus ancien et le plus étendu, tandis que celui de Rennes est le plus récent."
"Quel explorateur portugais a été le premier Européen à atteindre les Indes orientales par la mer ?", "Vasco de Gama", "Vasco de Gama a découvert les Indes orientales en contournant en 1498 le cap de Bonne-Espérance en Afrique du Sud, découvert en 1488 par Bartolomeu Dias, pendant la période des grandes découvertes."
"Quels ont été les autres noms d'Istanbul ?", "Byzance et Constantinople", "Istanbul, la plus grande ville de Turquie, a été fondée sous le nom de Byzance. Elle a été rebaptisée Constantinople en 330 après J.-C. par l'empereur romain Constantin le Grand, qui en a fait la nouvelle capitale de l'Empire romain d'Orient. En 1930, elle a été officiellement renommée Istanbul."
